Ensembl_ID	Gene_Symbol	Chromosome	Start	End	Length	GC_Content	Strand	Biotype	Description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight	WT4	WT1	WT2	KO5	KO4	KO3	wild_type	knock_out
ENSMUSG00000098659	1110015O18Rik	3	4862618	4879971	2035	34.16	1	lncRNA	RIKEN cDNA 1110015O18 gene [Source:MGI Symbol;Acc:MGI:1915766]	2.3	0.37	0.19	1.92917622860403	0.05370899	1	0	0	0	0.8	1.4	3.1	8.2	0.3	4.3
ENSMUSG00000028441	1110017D15Rik	4	41505009	41517333	1421	47.44	-1	protein_coding	RIKEN cDNA 1110017D15 gene [Source:MGI Symbol;Acc:MGI:1920971]	49.6	-0.22	0.26	-0.854681915362645	0.3927273	0.6766717	1.529	54	56.8	54.2	25.8	50	56.5	55	44.1
ENSMUSG00000085151	1110018N20Rik	2	167030622	167034728	1579	58.12	1	lncRNA	RIKEN cDNA 1110018N20 gene [Source:MGI Symbol;Acc:MGI:1915753]	23.9	-0.43	0.28	-1.517134339179	0.1292328	0.3993216	1.775	27.9	28.8	32.7	30.1	13.5	10.6	29.8	18.1
ENSMUSG00000097616	1110019D14Rik	6	13871525	14044384	1734	37.87	1	lncRNA	RIKEN cDNA 1110019D14 gene [Source:MGI Symbol;Acc:MGI:1923561]	70.7	0.2	0.27	0.771198466921102	0.4405893	0.7774635	1.239	63.6	68.9	56.6	130.5	47.9	56.5	63	78.3
ENSMUSG00000097047	1110020A21Rik	17	85224610	85265138	1272	44.34	-1	lncRNA	RIKEN cDNA 1110020A21 gene [Source:MGI Symbol;Acc:MGI:1915781]	21.9	0.26	0.28	0.919024186790675	0.3580829	0.6433498	1.581	29.6	14.4	11.2	27.2	21.9	27.1	18.4	25.4
ENSMUSG00000103520	1110025M09Rik	15	81468375	81469229	855	41.99	-1	TEC	RIKEN cDNA 1110025M09 gene [Source:MGI Symbol;Acc:MGI:1915885]	22	0.03	0.28	0.0966104394885325	0.9230358	0.9490981	1.601	23.5	16.8	24.7	25.8	26	15.3	21.7	22.4
ENSMUSG00000085972	1110028F11Rik	11	87592222	87596157	976	46.09	1	lncRNA	RIKEN cDNA 1110028F11 gene [Source:MGI Symbol;Acc:MGI:1915940]	8.7	-0.09	0.27	-0.337389600125411	0.7358232	1	0.031	14.8	8	5.6	8.6	10.4	4.7	9.5	7.9
ENSMUSG00000037971	1110032A03Rik	9	50674128	50686820	5293	44.13	-1	protein_coding	RIKEN cDNA 1110032A03 gene [Source:MGI Symbol;Acc:MGI:1915971]	292	0.4	0.16	2.43473593224335	0.01490266	0.1752894	1.51	256.8	237.8	249.7	335.4	319.9	352.2	248.1	335.8
ENSMUSG00000046999	1110032F04Rik	3	68776919	68779496	2578	52.99	1	protein_coding	RIKEN cDNA 1110032F04 gene [Source:MGI Symbol;Acc:MGI:1915975]	2.7	0.09	0.2	0.457201341329857	0.6475263	1	0	0.9	2.4	3.2	0	7.3	2.4	2.2	3.2
ENSMUSG00000099098	1110035H17Rik	7	28855105	28856345	1241	59.15	1	lncRNA	RIKEN cDNA 1110035H17 gene [Source:MGI Symbol;Acc:MGI:1915936]	6.6	-0.06	0.26	-0.224948110566629	0.8220196	1	0.084	4.4	8.8	8	5.7	1	11.8	7	6.2
ENSMUSG00000092203	1110038B12Rik	17	35169214	35171447	1811	49.15	-1	lncRNA	RIKEN cDNA 1110038B12 gene [Source:MGI Symbol;Acc:MGI:1916013]	1291.2	0.27	0.17	1.58885834519647	0.1120924	0.3970399	1.561	1111.7	1197.8	1159.9	1651.4	1501.3	1125	1156.5	1425.9
ENSMUSG00000063236	1110038F14Rik	15	76832706	76835179	1916	50.65	1	protein_coding	RIKEN cDNA 1110038F14 gene [Source:MGI Symbol;Acc:MGI:2152337]	1060.9	0.25	0.15	1.70359622740649	0.08845655	0.3662738	1.51	941.1	1000.9	940.6	1234.3	1216.9	1031.9	960.8	1161
ENSMUSG00000085457	1110046J04Rik	13	34119550	34144164	3487	42.17	1	lncRNA	RIKEN cDNA 1110046J04 gene [Source:MGI Symbol;Acc:MGI:1916058]	34.1	-0.04	0.27	-0.148222572152546	0.8821671	0.9680315	1.466	31.3	32.8	40.7	24.4	44.8	30.6	35	33.3
ENSMUSG00000040591	1110051M20Rik	2	91105413	91275049	5202	43.4	-1	protein_coding	RIKEN cDNA 1110051M20 gene [Source:MGI Symbol;Acc:MGI:1915079]	741.9	-0.05	0.15	-0.324017340515336	0.7459249	0.8898338	1.51	771.3	791.9	703.6	678.1	775.1	731.5	755.6	728.2
ENSMUSG00000035171	1110059E24Rik	19	21558566	21630340	3067	42.03	-1	protein_coding	RIKEN cDNA 1110059E24 gene [Source:MGI Symbol;Acc:MGI:1913456]	300.1	0.12	0.17	0.696499323463365	0.4861162	0.8012842	1.269	311.7	277	269.6	351.2	301.1	289.8	286.1	314
ENSMUSG00000032551	1110059G10Rik	9	122774154	122780065	5594	41.2	-1	protein_coding	RIKEN cDNA 1110059G10 gene [Source:MGI Symbol;Acc:MGI:1913452]	424.8	0.25	0.16	1.55418062800762	0.1201413	0.4110073	1.529	432.7	352.3	367	484.5	466.8	445.3	384	465.5
ENSMUSG00000078570	1110065P20Rik	4	124742873	124744989	2069	61.64	-1	protein_coding	RIKEN cDNA 1110065P20 gene [Source:MGI Symbol;Acc:MGI:1916170]	248.4	0.56	0.19	3.00262860435193	0.002676589	0.07291154	1.529	202.8	186.6	192.3	361.2	299	248.6	193.9	302.9
ENSMUSG00000111857	1190001M18Rik	11	82865142	82866411	1270	44.41	-1	lncRNA	RIKEN cDNA 1190001M18 gene [Source:MGI Symbol;Acc:MGI:1916174]	13.9	0.19	0.28	0.676117660756892	0.4989659	0.7290879	1.636	13.9	11.2	10.4	21.5	7.3	18.8	11.8	15.9
ENSMUSG00000043687	1190005I06Rik	8	121335341	121374371	1083	52.12	-1	protein_coding	RIKEN cDNA 1190005I06 gene [Source:MGI Symbol;Acc:MGI:1916168]	10.7	0.29	0.28	1.03206522556173	0.3020416	1	0.031	9.6	3.2	11.2	20.1	8.3	11.8	8	13.4
ENSMUSG00000063320	1190007I07Rik	10	82455685	82459062	1197	46.54	-1	protein_coding	RIKEN cDNA 1190007I07 gene [Source:MGI Symbol;Acc:MGI:3698433]	312.6	0.25	0.22	1.16272518928552	0.244941	0.5474286	1.614	289.9	262.6	285.6	486	304.2	247.4	279.4	345.9
ENSMUSG00000097290	1300002E11Rik	16	21613068	21627790	4213	42.23	1	lncRNA	RIKEN cDNA 1300002E11 gene [Source:MGI Symbol;Acc:MGI:1919001]	170.4	0.14	0.19	0.731092055138638	0.4647229	1	0.594	162.8	144.1	176.3	182.1	196.9	160.2	161.1	179.7
ENSMUSG00000112545	1300014J16Rik	12	80162637	80163973	1337	51.31	1	lncRNA	RIKEN cDNA 1300014J16 gene [Source:MGI Symbol;Acc:MGI:1921410]	6.8	0.11	0.26	0.425465152618202	0.6704976	1	0	2.6	4	11.2	10	8.3	4.7	5.9	7.7
ENSMUSG00000033688	1300017J02Rik	9	103127720	103182281	4508	45.81	-1	protein_coding	RIKEN cDNA 1300017J02 gene [Source:MGI Symbol;Acc:MGI:1919025]	11.2	-0.1	0.28	-0.352724629583917	0.7242949	1	0.031	11.3	14.4	10.4	7.2	8.3	15.3	12	10.3
ENSMUSG00000096221	1500002C15Rik	4	155817002	155819184	2183	51.44	-1	lncRNA	RIKEN cDNA 1500002C15 gene [Source:MGI Symbol;Acc:MGI:1916196]	67	0.11	0.25	0.45885399010566	0.646339	0.7849579	1.775	64.4	58.5	68.6	44.4	88.6	77.7	63.8	70.2
ENSMUSG00000097595	1500002F19Rik	7	132476468	132532926	1239	43.96	-1	lncRNA	RIKEN cDNA 1500002F19 gene [Source:MGI Symbol;Acc:MGI:1923933]	4.8	-0.02	0.24	-0.0736270208462154	0.9413072	1	0	0.9	6.4	7.2	8.6	3.1	2.4	4.8	4.7
ENSMUSG00000098912	1500004A13Rik	3	88690250	88739854	13854	44.24	-1	lncRNA	RIKEN cDNA 1500004A13 gene [Source:MGI Symbol;Acc:MGI:2442808]	67.2	-0.5	0.23	-2.1471809506405	0.03177888	0.2389929	1.601	71.4	94.5	80.6	41.6	55.2	60.1	82.1	52.3
ENSMUSG00000087651	1500009L16Rik	10	83558729	83598626	3465	45.94	1	protein_coding	RIKEN cDNA 1500009L16 gene [Source:MGI Symbol;Acc:MGI:1917034]	278.4	0.22	0.18	1.23735306878178	0.215956	0.518745	1.614	292.5	239.4	233.7	296.7	321.9	286.2	255.2	301.6
ENSMUSG00000072694	1500011B03Rik	5	114946257	114961529	2693	49.36	-1	protein_coding	RIKEN cDNA 1500011B03 gene [Source:MGI Symbol;Acc:MGI:1913486]	986.8	0.25	0.15	1.63377214797925	0.1023067	0.3875564	1.51	989.9	839.9	850.4	1055.1	1187.7	997.7	893.4	1080.2
ENSMUSG00000098702	1500015A07Rik	18	61859461	61868988	2296	45.99	1	lncRNA	RIKEN cDNA 1500015A07 gene [Source:MGI Symbol;Acc:MGI:1916232]	69	-0.07	0.26	-0.2655350432573	0.7905973	0.9225115	1.466	81.8	43.2	88.6	93.2	44.8	62.4	71.2	66.8
ENSMUSG00000097383	1500026H17Rik	10	89522233	89536728	3027	42.78	1	lncRNA	RIKEN cDNA 1500026H17 gene [Source:MGI Symbol;Acc:MGI:1916252]	32.4	0.17	0.26	0.660918848603041	0.5086644	0.7415641	1.601	32.2	25.6	31.1	28.7	43.8	33	29.6	35.1
ENSMUSG00000117718	1500032F14Rik	19	4304059	4307679	460	46.98	-1	lncRNA	RIKEN cDNA 1500032F14 gene [Source:MGI Symbol;Acc:MGI:1925555]	2.5	0.05	0.21	0.233262328534079	0.8155577	1	0	4.4	0.8	1.6	2.9	4.2	1.2	2.2	2.7
ENSMUSG00000059631	1500035N22Rik	5	25190840	25203166	865	50.25	1	lncRNA	RIKEN cDNA 1500035N22 gene [Source:MGI Symbol;Acc:MGI:1917508]	2.1	0.08	0.2	0.423843620567026	0.6716799	1	0	0.9	3.2	0.8	4.3	2.1	1.2	1.6	2.5
ENSMUSG00000043747	1520401A03Rik	17	23923462	23941757	4111	52.21	-1	protein_coding	RIKEN cDNA 1520401A03 gene [Source:MGI Symbol;Acc:MGI:2443785]	24.5	0.47	0.28	1.64804114937228	0.09934423	0.3875564	1.466	10.4	19.2	19.1	8.6	61.5	28.3	16.3	32.8
ENSMUSG00000117232	1600002D24Rik	16	95557741	95730277	2822	46.42	-1	lncRNA	RIKEN cDNA 1600002D24 gene [Source:MGI Symbol;Acc:MGI:1917026]	2.3	-0.04	0.2	-0.201840329278517	0.8400416	1	0	3.5	2.4	1.6	1.4	0	4.7	2.5	2
ENSMUSG00000101585	1600010M07Rik	7	109597583	109750409	1729	42.06	-1	lncRNA	RIKEN cDNA 1600010M07 gene [Source:MGI Symbol;Acc:MGI:1917031]	7.8	0.25	0.27	0.898894035170211	0.3687091	1	0.075	7	5.6	5.6	4.3	13.5	10.6	6.1	9.5
ENSMUSG00000050088	1600012H06Rik	17	15163446	15179832	3294	40.06	1	protein_coding	RIKEN cDNA 1600012H06 gene [Source:MGI Symbol;Acc:MGI:1915162]	713.6	0.07	0.17	0.429983321455642	0.6672078	0.8491021	1.51	814	595.7	670.9	669.5	719.9	811.6	693.5	733.7
ENSMUSG00000054676	1600014C10Rik	7	37882642	37896992	3948	49.3	1	protein_coding	RIKEN cDNA 1600014C10 gene [Source:MGI Symbol;Acc:MGI:1919494]	389.4	0.17	0.21	0.7862260292268	0.4317351	0.6882553	1.614	398.7	373.1	316.7	279.5	433.4	534.8	362.9	415.9
ENSMUSG00000094690	1600014C23Rik	17	46043790	46044770	518	56.68	-1	protein_coding	RIKEN cDNA 1600014C23 gene [Source:MGI Symbol;Acc:MGI:1919490]	1.9	-0.13	0.18	-0.740105446745214	0.459236	1	0	4.4	0	4	0	2.1	1.2	2.8	1.1
ENSMUSG00000097048	1600020E01Rik	6	86503229	86559448	4328	44.62	1	lncRNA	RIKEN cDNA 1600020E01 gene [Source:MGI Symbol;Acc:MGI:1919262]	325.7	-0.16	0.17	-0.91298381668268	0.3612511	0.6537712	1.529	379.6	339.5	319.1	270.9	346.9	298	346.1	305.3
ENSMUSG00000104986	1600023N17Rik	5	45826044	45827050	1007	49.65	-1	TEC	RIKEN cDNA 1600023N17 gene [Source:MGI Symbol;Acc:MGI:1917038]	4.2	0.08	0.25	0.306636356002537	0.7591202	1	0	2.6	4	4.8	2.9	6.3	4.7	3.8	4.6
ENSMUSG00000057818	1600029O15Rik	9	58110180	58116091	1809	49.53	1	transcribed_processed_pseudogene	RIKEN cDNA 1600029O15 gene [Source:MGI Symbol;Acc:MGI:3045362]	2.6	-0.03	0.19	-0.141917328309893	0.8871453	1	0	6.1	0.8	1.6	1.4	0	5.9	2.8	2.4
ENSMUSG00000099419	1700001D01Rik	8	61734556	61741906	565	46.5	-1	lncRNA	RIKEN cDNA 1700001D01 gene [Source:MGI Symbol;Acc:MGI:1916529]	3.8	-0.32	0.22	-1.4223756349676	0.1549172	1	0	0.9	8	8.8	2.9	1	1.2	5.9	1.7
ENSMUSG00000085984	1700001G11Rik	14	66532783	66534578	1080	50.84	-1	lncRNA	RIKEN cDNA 1700001G11 gene [Source:MGI Symbol;Acc:MGI:1916553]	15.3	0.55	0.28	1.94492271560953	0.05178428	0.3182151	1.265	13.9	8.8	7.2	20.1	21.9	20	10	20.7
ENSMUSG00000103746	1700001G17Rik	1	33708905	33709793	889	57.59	1	TEC	RIKEN cDNA 1700001G17 gene [Source:MGI Symbol;Acc:MGI:1914753]	15.2	-0.19	0.28	-0.672160272227492	0.5014817	0.8123627	1.265	19.2	17.6	14.4	14.3	10.4	15.3	17	13.4
ENSMUSG00000056508	1700001K19Rik	12	110634122	110649053	955	49.12	-1	protein_coding	RIKEN cDNA 1700001K19 gene [Source:MGI Symbol;Acc:MGI:1913573]	17.9	-0.33	0.28	-1.16283885042103	0.2448949	0.5705976	1.466	18.3	23.2	23.1	20.1	14.6	8.2	21.5	14.3
ENSMUSG00000118314	1700001K23Rik	19	53237167	53253836	1535	49.94	-1	lncRNA	RIKEN cDNA 1700001K23 gene [Source:MGI Symbol;Acc:MGI:1916569]	27.1	-0.4	0.28	-1.42484524905783	0.1542019	0.4302737	1.775	33.1	37.6	30.3	34.4	7.3	20	33.7	20.6
ENSMUSG00000075511	1700001L05Rik	15	83238048	83251483	6112	45.31	-1	lncRNA	RIKEN cDNA 1700001L05 gene [Source:MGI Symbol;Acc:MGI:1916541]	79.8	-0.07	0.25	-0.273738414774009	0.7842857	0.9038629	1.529	74.9	77.7	93.3	114.7	60.4	57.7	82	77.6
ENSMUSG00000021534	1700001L19Rik	13	68745540	68762350	1826	46.08	1	protein_coding	RIKEN cDNA 1700001L19 gene [Source:MGI Symbol;Acc:MGI:1916565]	3.1	-0.21	0.22	-0.956513097922245	0.3388131	1	0	5.2	5.6	2.4	0	2.1	3.5	4.4	1.9
ENSMUSG00000044320	1700001O22Rik	2	30684781	30693673	2788	53.81	-1	protein_coding	RIKEN cDNA 1700001O22 gene [Source:MGI Symbol;Acc:MGI:1923631]	59.5	0.16	0.27	0.578269280537967	0.5630823	0.8019662	1.466	54.8	51.2	56.6	110.4	52.1	31.8	54.2	64.8
ENSMUSG00000018543	1700001P01Rik	11	97662307	97666744	624	46.51	-1	protein_coding	RIKEN cDNA 1700001P01 gene [Source:MGI Symbol;Acc:MGI:1919465]	6.8	0.45	0.26	1.75458954688185	0.07932954	1	0.075	1.7	7.2	0.8	14.3	9.4	7.1	3.2	10.3
ENSMUSG00000030030	1700003E16Rik	6	83133386	83139927	2221	49.88	1	protein_coding	RIKEN cDNA 1700003E16 gene [Source:MGI Symbol;Acc:MGI:1919087]	26.8	0.14	0.28	0.496155368750501	0.6197848	0.8340343	1.466	25.2	20	27.9	45.9	30.2	11.8	24.4	29.3
ENSMUSG00000038523	1700003F12Rik	2	154389005	154391923	976	54.27	1	protein_coding	RIKEN cDNA 1700003F12 gene [Source:MGI Symbol;Acc:MGI:1922730]	16.2	0.04	0.28	0.158180514420529	0.8743146	1	1.265	12.2	16.8	18.3	11.5	22.9	15.3	15.8	16.6
ENSMUSG00000087621	1700003G18Rik	7	115680994	115692394	1799	38.71	-1	lncRNA	RIKEN cDNA 1700003G18 gene [Source:MGI Symbol;Acc:MGI:1916600]	6.5	-0.01	0.27	-0.0480991599399438	0.9616372	1	0.005	7.8	7.2	4.8	5.7	4.2	9.4	6.6	6.4
ENSMUSG00000085389	1700003M07Rik	4	129854167	129857450	873	50.49	1	lncRNA	RIKEN cDNA 1700003M07 gene [Source:MGI Symbol;Acc:MGI:1919475]	3.2	0.08	0.22	0.37758254893959	0.7057407	1	0	3.5	2.4	2.4	1.4	8.3	1.2	2.8	3.6
ENSMUSG00000118311	1700003O11Rik	18	76147282	76148748	582	48.06	-1	lncRNA	RIKEN cDNA 1700003O11 gene [Source:MGI Symbol;Acc:MGI:1922882]	2.6	-0.18	0.21	-0.872718262500495	0.3828167	1	0	4.4	4	2.4	0	1	3.5	3.6	1.5
ENSMUSG00000100274	1700006F04Rik	14	119986637	119988976	441	42.91	1	lncRNA	RIKEN cDNA 1700006F04 gene [Source:MGI Symbol;Acc:MGI:1922682]	1.7	-0.26	0.18	-1.42578665204299	0.1539299	1	0	4.4	3.2	1.6	0	1	0	3.1	0.3
ENSMUSG00000034764	1700006J14Rik	10	120200062	120220241	2885	44.41	1	lncRNA	RIKEN cDNA 1700006J14 gene [Source:MGI Symbol;Acc:MGI:2447818]	49.5	-0.21	0.27	-0.762544459578421	0.4457351	0.7280289	1.466	48.8	49.6	66.2	34.4	26	71.9	54.9	44.1
ENSMUSG00000086330	1700007J10Rik	11	59616743	59630980	1298	49.28	-1	lncRNA	RIKEN cDNA 1700007J10 gene [Source:MGI Symbol;Acc:MGI:1916570]	16.7	-0.54	0.28	-1.91096279300955	0.05600936	0.3550224	1.032	16.5	28.8	22.3	7.2	13.5	11.8	22.6	10.8
ENSMUSG00000026831	1700007K13Rik	2	28352013	28356344	965	50.55	-1	protein_coding	RIKEN cDNA 1700007K13 gene [Source:MGI Symbol;Acc:MGI:1916577]	30.3	0.75	0.28	2.64447080001007	0.008181877	0.1329535	1.466	29.6	12	9.6	51.6	52.1	27.1	17.1	43.6
ENSMUSG00000097318	1700007L15Rik	16	33200224	33201097	738	52.06	-1	lncRNA	RIKEN cDNA 1700007L15 gene [Source:MGI Symbol;Acc:MGI:1916581]	59.9	0.51	0.26	1.99503472268967	0.04603909	0.273366	1.601	49.6	37.6	47.9	103.2	76.1	44.8	45	74.7
ENSMUSG00000104872	1700008B11Rik	5	121973258	121973891	634	55.21	1	lncRNA	RIKEN cDNA 1700008B11 gene [Source:MGI Symbol;Acc:MGI:1913571]	2.8	-0.04	0.21	-0.198021464207275	0.8430283	1	0	0.9	4.8	3.2	4.3	1	2.4	3	2.6
ENSMUSG00000101225	1700008J07Rik	7	127109610	127112041	2432	51.23	-1	lncRNA	RIKEN cDNA 1700008J07 gene [Source:MGI Symbol;Acc:MGI:1916610]	60.6	0.43	0.25	1.70463993808548	0.0882616	0.3407979	1.775	44.4	58.5	43.1	83.1	86.5	48.3	48.6	72.6
ENSMUSG00000101012	1700008K24Rik	17	49419291	49420563	950	51.22	-1	lncRNA	RIKEN cDNA 1700008K24 gene [Source:MGI Symbol;Acc:MGI:1916561]	2	-0.02	0.19	-0.117651992883371	0.9063434	1	0	0.9	2.4	3.2	0	2.1	3.5	2.2	1.9
ENSMUSG00000008028	1700008O03Rik	7	44009467	44035244	3675	49	-1	protein_coding	RIKEN cDNA 1700008O03 gene [Source:MGI Symbol;Acc:MGI:1916599]	14.1	-0.1	0.28	-0.339827902032511	0.7339861	0.8543799	1.636	15.7	14.4	15.2	18.6	3.1	17.7	15.1	13.1
ENSMUSG00000028287	1700009N14Rik	4	39450295	39451776	1258	47.37	1	protein_coding	RIKEN cDNA 1700009N14 gene [Source:MGI Symbol;Acc:MGI:1922721]	1.6	-0.23	0.17	-1.29933050507698	0.1938305	1	0	1.7	4	2.4	0	0	1.2	2.7	0.4
ENSMUSG00000023873	1700010I14Rik	17	9207165	9230781	2292	46.02	1	protein_coding	RIKEN cDNA 1700010I14 gene [Source:MGI Symbol;Acc:MGI:1914181]	53.1	0.22	0.25	0.869726320011887	0.38445	0.5764594	2.239	47	45.6	50.3	47.3	46.9	81.3	47.6	58.5
ENSMUSG00000085102	1700010K24Rik	3	108156225	108164301	226	42.58	-1	lncRNA	RIKEN cDNA 1700010K24 gene [Source:MGI Symbol;Acc:MGI:1922690]	1.7	0.03	0.18	0.141758772943211	0.8872705	1	0	0.9	0.8	3.2	1.4	4.2	0	1.6	1.9
