"seqnames" "start" "end" "width" "strand" "Conc" "Conc_KO" "Conc_WT" "Fold" "p.value" "FDR" "annotation" "geneChr" "geneStart" "geneEnd" "geneLength" "geneStrand" "geneId" "transcriptId" "distanceToTSS" "ENSEMBL" "SYMBOL" "GENENAME" "Simplified_Annotation"
"16" "chr14" 25896131 25896531 401 "*" 5.68608702104466 4.46409621404249 6.15166748681231 -1.08660567951451 9.201620353255e-10 4.42597938991565e-06 "Intron (ENSMUST00000052286.16/211623, intron 1 of 3)" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 6367 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Intron"
"17" "chr14" 25881971 25882371 401 "*" 5.08632773144376 3.62507389167515 5.59683239997009 -1.33997015967714 1.8946865875491e-09 8.60714012577167e-06 "Intron (ENSMUST00000022416.15/11744, intron 11 of 14)" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 20527 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Intron"
"18" "chr14" 25946246 25946646 401 "*" 4.79944136234526 3.20407798833252 5.33154957892133 -1.55851230631938 2.22020725256601e-09 9.55507089696435e-06 "Intron (ENSMUST00000183436.2/105594, intron 1 of 2)" 14 25942963 25956780 13818 1 "105594" "ENSMUST00000184016.3" 3283 "ENSMUSG00000095975" "Cphx1" "cytoplasmic polyadenylated homeobox 1" "Intron"
"19" "chr18" 35000684 35001084 401 "*" 5.56009154438646 6.25387574953744 4.7947633315668 0.947363634795296 6.70388459857797e-09 2.7408832181286e-05 "Distal Intergenic" 18 34992876 34998037 5162 1 "13653" "ENSMUST00000064795.6" 7808 "ENSMUSG00000038418" "Egr1" "early growth response 1" "Intergenic"
"20" "chr14" 25957531 25957931 401 "*" 4.85430257136757 3.27789945713911 5.38349594040351 -1.34565701968357 8.85611974094708e-09 3.44840433912973e-05 "Distal Intergenic" 14 25952232 25955655 3424 1 "105594" "ENSMUST00000061593.7" 5299 "ENSMUSG00000095975" "Cphx1" "cytoplasmic polyadenylated homeobox 1" "Intergenic"
"21" "chr13" 25267148 25267548 401 "*" 5.76044945801933 4.80492832297186 6.16414962274681 -0.883930564426522 2.99457352231805e-08 0.00011130285314543 "Intron (ENSMUST00000036932.15/195208, intron 2 of 7)" 13 25280330 25303389 23060 1 "195208" "ENSMUST00000159129.2" -12782 "ENSMUSG00000035910" "Dcdc2a" "doublecortin domain containing 2a" "Intron"
"22" "chr14" 25889482 25889882 401 "*" 5.12670233150376 4.03975549195015 5.56268176737889 -0.908636763933637 5.59038939227349e-08 0.00019875049591574 "Intron (ENSMUST00000052286.16/211623, intron 2 of 3)" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 13016 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Intron"
"23" "chr4" 135871908 135872308 401 "*" 6.6999477736858 6.07430146422541 7.00396859877411 -0.702788130209251 1.14027871405164e-07 0.000388502460200011 "Promoter (<=1kb)" 4 135871175 135872027 853 1 "15903" "ENSMUST00000151001.2" 733 "ENSMUSG00000007872" "Id3" "inhibitor of DNA binding 3" "Promoter"
"24" "chr4" 129881553 129881953 401 "*" 6.80831564583163 6.26169370287428 7.08362369039772 -0.652586861458707 1.21257876420715e-07 0.000396610262196873 "Promoter (2-3kb)" 4 129879061 129916426 37366 1 "230775" "ENSMUST00000121049.8" 2492 "ENSMUSG00000028782" "Adgrb2" "adhesion G protein-coupled receptor B2" "Promoter"
"25" "chr15" 52024896 52025296 401 "*" 6.50384351383845 5.84167802468 6.820430257459 -0.72685707976101 1.70296421639219e-07 0.000535582246055343 "Distal Intergenic" 15 51903503 51909118 5616 1 "239435" "ENSMUST00000090025.5" 121393 "ENSMUSG00000068522" "Aard" "alanine and arginine rich domain containing protein" "Intergenic"
"26" "chr9" 61703230 61703630 401 "*" 5.04268375874254 3.73460428807277 5.52545761388232 -0.907080306972378 2.79582575189056e-07 0.000846721006415153 "Distal Intergenic" 9 61820566 61821824 1259 2 "56040" "ENSMUST00000008036.9" 118194 "ENSMUSG00000007892" "Rplp1" "ribosomal protein lateral stalk subunit P1" "Intergenic"
"27" "chr15" 73432896 73433296 401 "*" 6.34533577445563 5.59417998008989 6.69082496521369 -0.750179590775713 3.97811533438117e-07 0.00116175175318696 "Intron (ENSMUST00000043414.12/105841, intron 16 of 22)" 15 73429485 73439956 10472 1 "105841" "ENSMUST00000160267.3" 3411 "ENSMUSG00000036661" "Dennd3" "DENN domain containing 3" "Intron"
"28" "chr1" 155685505 155685905 401 "*" 6.72149997674481 5.91402588131816 7.08410536486693 -0.766165992766742 4.88312636044721e-07 0.00137687324997851 "Promoter (2-3kb)" 1 155669915 155688566 18652 2 "104009" "ENSMUST00000151368.2" 2661 "ENSMUSG00000033684" "Qsox1" "quiescin Q6 sulfhydryl oxidase 1" "Promoter"
"29" "chr10" 5851767 5852167 401 "*" 5.35203877149168 4.33828364907693 5.77049465708551 -0.812580393834822 5.75550011860237e-07 0.00154575385939018 "Intron (ENSMUST00000131996.8/56533, intron 1 of 4)" 10 5782169 5872366 90198 2 "56533" "ENSMUST00000117676.8" 20199 "ENSMUSG00000019775" "Rgs17" "regulator of G-protein signaling 17" "Intron"
"30" "chr1" 132246985 132247385 401 "*" 5.04159732991646 3.9337276583339 5.48238751850684 -0.826693532984217 6.04917738785444e-07 0.00154575385939018 "Intron (ENSMUST00000072177.14/74137, intron 1 of 7)" 1 132243903 132245474 1572 1 "74137" "ENSMUST00000128661.2" 3082 "ENSMUSG00000009772" "Nuak2" "NUAK family, SNF1-like kinase, 2" "Intron"
"31" "chr2" 32427325 32427725 401 "*" 5.92402683721121 5.16842116323177 6.27090041008198 -0.741473380320364 6.55474025184679e-07 0.00159454738483636 "Promoter (1-2kb)" 2 32425745 32448113 22369 1 "98952" "ENSMUST00000133366.2" 1580 "ENSMUSG00000039157" "Eeig1" "estrogen-induced osteoclastogenesis regulator 1" "Promoter"
"32" "chr3" 152014153 152014553 401 "*" 7.0958972118099 6.51761069113891 7.3829685200936 -0.651192371102436 6.63013465628426e-07 0.00159454738483636 "Intron (ENSMUST00000073089.13/215708, intron 7 of 15)" 3 151996318 152023352 27035 2 "215708" "ENSMUST00000199443.2" 8799 "ENSMUSG00000054942" "Miga1" "mitoguardin 1" "Intron"
"33" "chr1" 133994836 133995236 401 "*" 6.64970814919448 5.92735628265009 6.98609928133253 -0.725528219743154 7.36589482636682e-07 0.00172088348557718 "Distal Intergenic" 1 133987389 133988720 1332 2 "105246710" "ENSMUST00000241115.1" -6116 NA "Gm19497" "predicted gene, 19497" "Intergenic"
"34" "chr1" 30757656 30758056 401 "*" 5.7846593759284 4.76957893888527 6.20344248205094 -0.802340660072253 7.831596717475e-07 0.00176300619674872 "Promoter (<=1kb)" 1 30757641 30759043 1403 2 "791350" "ENSMUST00000065469.3" 987 "ENSMUSG00000053185" "Gm9898" "predicted gene 9898" "Promoter"
"35" "chr3" 88378147 88378547 401 "*" 5.50990419819162 4.67399293979827 5.88082799302503 -0.763405367579227 8.16594652266102e-07 0.00176300619674872 "Distal Intergenic" 3 88343269 88368489 25221 2 "20351" "ENSMUST00000166237.8" -9658 "ENSMUSG00000028064" "Sema4a" "sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A" "Intergenic"
"36" "chr6" 99150568 99150968 401 "*" 6.75578444282199 5.97787522757757 7.10951318735797 -0.745162019291329 8.193009108041e-07 0.00176300619674872 "Intron (ENSMUST00000113326.9/108655, intron 2 of 17)" 6 98907051 99139979 232929 2 "108655" "ENSMUST00000177307.8" -10589 "ENSMUSG00000030067" "Foxp1" "forkhead box P1" "Intron"
"37" "chr2" 166091231 166091631 401 "*" 5.50328932343915 4.70931954331431 5.86186946771543 -0.746663358336794 9.99023357525619e-07 0.00209461897294538 "Distal Intergenic" 2 166115828 166136751 20924 1 "670775" "ENSMUST00000152987.2" -24197 "ENSMUSG00000084840" "Gm11468" "predicted gene 11468" "Intergenic"
"38" "chr4" 115874699 115875099 401 "*" 7.05546444621943 6.57049159975159 7.30682158092703 -0.587624338323119 1.06188577462418e-06 0.00216457015024122 "Promoter (<=1kb)" 4 115824342 115874872 50531 2 "14073" "ENSMUST00000125761.8" 0 "ENSMUSG00000034171" "Faah" "fatty acid amide hydrolase" "Promoter"
"39" "chr6" 55094711 55095111 401 "*" 6.82428686972435 6.29773962998763 7.09195114914752 -0.618491075789979 1.10194942315816e-06 0.00216457015024122 "Promoter (<=1kb)" 6 55068171 55094970 26800 2 "12922" "ENSMUST00000095898.10" 0 "ENSMUSG00000003476" "Crhr2" "corticotropin releasing hormone receptor 2" "Promoter"
"40" "chr2" 154269766 154270166 401 "*" 6.08468800718242 5.29401190004041 6.44227895662097 -0.741157043744706 1.11180073755817e-06 0.00216457015024122 "Distal Intergenic" 2 154278401 154381276 102876 1 "12396" "ENSMUST00000109725.8" -8235 "ENSMUSG00000038533" "Cbfa2t2" "CBFA2/RUNX1 translocation partner 2" "Intergenic"
"41" "chr11" 75816647 75817047 401 "*" 5.81053401263517 4.9671169280022 6.18361833206454 -0.753185978563866 1.16335160287037e-06 0.00221226187364442 "Promoter (<=1kb)" 11 75790552 75816717 26166 2 "380714" "ENSMUST00000021208.11" 0 "ENSMUSG00000020847" "Rph3al" "rabphilin 3A-like (without C2 domains)" "Promoter"
"42" "chr11" 75809676 75810076 401 "*" 4.59073812062737 3.33328190975934 5.06355107711104 -0.814964156147621 1.20539048759162e-06 0.00224010864023561 "Intron (ENSMUST00000121287.8/380714, intron 1 of 8)" 11 75790552 75816717 26166 2 "380714" "ENSMUST00000021208.11" 6641 "ENSMUSG00000020847" "Rph3al" "rabphilin 3A-like (without C2 domains)" "Intron"
"43" "chr1" 128400172 128400572 401 "*" 6.27120578977759 5.6766291628099 6.56419262882312 -0.650339981889217 1.29956950252445e-06 0.00233809074115266 "Distal Intergenic" 1 128417777 128417910 134 1 "115485767" "ENSMUST00000157571.3" -17205 "ENSMUSG00000088196" "Gm23902" "predicted gene, 23902" "Intergenic"
"44" "chr1" 125417059 125417459 401 "*" 5.06998949213799 4.04120331419286 5.49213467710805 -0.783677198703078 1.31530113847404e-06 0.00233809074115266 "Distal Intergenic" 1 125333617 125363464 29848 2 "74117" "ENSMUST00000188497.7" -53595 "ENSMUSG00000026341" "Actr3" "ARP3 actin-related protein 3" "Intergenic"
"45" "chr10" 70894716 70895116 401 "*" 5.74784696761883 5.00886632055458 6.08951963366582 -0.71731207018627 1.3526069024768e-06 0.00235324822160698 "Intron (ENSMUST00000143791.8/83675, intron 2 of 20)" 10 70760932 70982690 221759 2 "83675" "ENSMUST00000131445.8" 87574 "ENSMUSG00000014329" "Bicc1" "BicC family RNA binding protein 1" "Intron"
"46" "chr15" 78959165 78959565 401 "*" 7.31676735995477 6.8028493015568 7.57954691870512 -0.602838521436084 1.41637855346468e-06 0.00241285988160014 "Promoter (<=1kb)" 15 78959379 78978605 19227 1 "223691" "ENSMUST00000040518.6" 0 "ENSMUSG00000033047" "Eif3l" "eukaryotic translation initiation factor 3, subunit L" "Promoter"
"47" "chr13" 32054121 32054521 401 "*" 3.8986765197002 2.22246303566483 4.44273135166687 -0.86988291456427 1.53984482104224e-06 0.00253425868358825 "Intron (ENSMUST00000041859.9/218138, intron 9 of 10)" 13 31990616 31996459 5844 1 "17300" "ENSMUST00000062292.5" 63505 "ENSMUSG00000050295" "Foxc1" "forkhead box C1" "Intron"
"48" "chr3" 51885400 51885800 401 "*" 5.79171647552626 4.91225817868325 6.17497636603278 -0.754413065654066 1.56805276587236e-06 0.00253425868358825 "Intron (ENSMUST00000121440.4/433586, intron 1 of 4)" 3 51593328 52012497 419170 2 "433586" "ENSMUST00000121440.4" 126697 "ENSMUSG00000061143" "Maml3" "mastermind like transcriptional coactivator 3" "Intron"
"49" "chr3" 27778400 27778800 401 "*" 5.7154894273351 4.78752016915243 6.11194294030704 -0.761523782944367 1.59974985943233e-06 0.00253425868358825 "Distal Intergenic" 3 27548581 27765456 216876 2 "72007" "ENSMUST00000191684.2" -12944 "ENSMUSG00000039286" "Fndc3b" "fibronectin type III domain containing 3B" "Intergenic"
"50" "chr6" 40406503 40406903 401 "*" 5.69408314676703 4.80215606610226 6.08078830305882 -0.754806919126983 1.65463935104644e-06 0.00253425868358825 "Promoter (1-2kb)" 6 40395480 40408342 12863 2 "243780" "ENSMUST00000201712.2" 1439 "ENSMUSG00000037172" "Dennd11" "DENN domain containing 11" "Promoter"
"51" "chr11" 88044711 88045111 401 "*" 6.37823655737282 5.78561254679625 6.67051912124996 -0.64723325088178 1.6666338946926e-06 0.00253425868358825 "Intron (ENSMUST00000018522.13/103841, intron 1 of 10)" 11 88053087 88084966 31880 1 "103841" "ENSMUST00000154812.8" -7976 "ENSMUSG00000018378" "Cuedc1" "CUE domain containing 1" "Intron"
"52" "chr4" 136469975 136470375 401 "*" 6.77072124947912 6.21642973860958 7.04891111075554 -0.628303858351372 1.69772393479068e-06 0.00253425868358825 "Intron (ENSMUST00000105845.9/13844, intron 3 of 15)" 4 136388774 136421351 32578 2 "13844" "ENSMUST00000156558.2" -48624 "ENSMUSG00000028664" "Ephb2" "Eph receptor B2" "Intron"
"53" "chr15" 12232573 12232973 401 "*" 6.48939443994343 5.61872795256301 6.87020208477875 -0.748027522271169 1.71170115629618e-06 0.00253425868358825 "Exon (ENSMUST00000038172.16/268783, exon 3 of 16)" 15 12223440 12245138 21699 1 "268783" "ENSMUST00000173071.2" 9133 "ENSMUSG00000039458" "Mtmr12" "myotubularin related protein 12" "Exon"
"54" "chr12" 17741844 17742244 401 "*" 5.80938382888376 5.15342931309133 6.12386346390099 -0.673791652705542 1.73558134133474e-06 0.00253425868358825 "Promoter (<=1kb)" 12 17740857 17841934 101078 1 "53602" "ENSMUST00000071858.5" 987 "ENSMUSG00000071379" "Hpcal1" "hippocalcin-like 1" "Promoter"
"55" "chr2" 173432457 173432857 401 "*" 5.28373306646589 4.23726147283246 5.71015827916399 -0.773155002185303 1.77197875920018e-06 0.00254201233578594 "Promoter (<=1kb)" 2 173428379 173433106 4728 2 "100043911" "ENSMUST00000154908.2" 249 "ENSMUSG00000121504" "Ppp4r1l-ps" "protein phosphatase 4, regulatory subunit 1-like, pseudogene" "Promoter"
"56" "chr8" 127388175 127388575 401 "*" 6.14034731912333 5.46412149372887 6.46165952878614 -0.684767904920546 1.88644214359863e-06 0.00265955817382863 "Distal Intergenic" 8 127315035 127320725 5691 2 "270110" "ENSMUST00000054960.9" -67450 "ENSMUSG00000051495" "Irf2bp2" "interferon regulatory factor 2 binding protein 2" "Intergenic"
"57" "chr18" 35974706 35975106 401 "*" 6.71050349172169 6.17146201007005 6.98294239426991 -0.614011956463584 2.03490606884954e-06 0.0028173383138373 "Intron (ENSMUST00000235919.2/56550, intron 4 of 4)" 18 35963442 35964146 705 2 "115488942" "ENSMUST00000188160.2" -10560 NA "Gm29417" "predicted gene 29417" "Intron"
"58" "chr13" 46441185 46441585 401 "*" 5.12081105110941 4.30611969505731 5.48554774333852 -0.733804467326087 2.0672654864894e-06 0.0028173383138373 "Intron (ENSMUST00000076622.4/380842, intron 2 of 4)" 13 46427197 46453591 26395 1 "380842" "ENSMUST00000076622.4" 13988 "ENSMUSG00000063529" "Stmnd1" "stathmin domain containing 1" "Intron"
"59" "chr5" 5311962 5312362 401 "*" 5.02439927416232 4.09751315135214 5.42056431294849 -0.75328011350151 2.14616282562463e-06 0.00287691367625125 "Promoter (2-3kb)" 5 4855838 5315309 459472 2 "18647" "ENSMUST00000115450.8" 2947 "ENSMUSG00000028926" "Cdk14" "cyclin dependent kinase 14" "Promoter"
"60" "chr14" 25954967 25955367 401 "*" 4.52515726434661 3.34131897435749 4.98271384504917 -0.778823665829639 2.21955568210969e-06 0.00292730755042112 "Promoter (2-3kb)" 14 25952232 25955655 3424 1 "105594" "ENSMUST00000061593.7" 2735 "ENSMUSG00000095975" "Cphx1" "cytoplasmic polyadenylated homeobox 1" "Promoter"
"61" "chr15" 101207378 101207778 401 "*" 6.23743600887213 5.63521241750208 6.53316853332975 -0.648789176148061 2.40756597918566e-06 0.00312486777965098 "Distal Intergenic" 15 101220769 101303715 82947 1 "102639573" "ENSMUST00000229584.2" -12991 "ENSMUSG00000116114" "Gm35853" "predicted gene, 35853" "Intergenic"
"62" "chr19" 41264062 41264462 401 "*" 6.00731900973118 5.05577669305744 6.40998343298092 -0.74973433156059 2.5102589272609e-06 0.00320724800753319 "Intron (ENSMUST00000059672.9/83490, intron 16 of 16)" 19 41199283 41252436 53154 2 "107358" "ENSMUST00000025989.10" -11626 "ENSMUSG00000025016" "Tm9sf3" "transmembrane 9 superfamily member 3" "Intron"
"63" "chr9" 32844846 32845246 401 "*" 4.95084650376115 3.88322458588793 5.38230558889579 -0.750555167098835 3.10693478410767e-06 0.00387284243470022 "Distal Intergenic" 9 32816233 32840262 24030 2 "330917" "ENSMUST00000185169.2" -4584 NA "Gm27162" "predicted gene 27162" "Intergenic"
"64" "chr7" 135283165 135283565 401 "*" 3.98396199854574 4.80422094574346 2.95339602751408 0.762733174792722 3.15320331846908e-06 0.00387284243470022 "Exon (ENSMUST00000211140.2/19267, exon 20 of 21)" 7 135306365 135312640 6276 2 "17345" "ENSMUST00000211238.2" 29075 "ENSMUSG00000031004" "Mki67" "antigen identified by monoclonal antibody Ki 67" "Exon"
"65" "chr11" 103090193 103090593 401 "*" 5.73391448736541 5.02298268405756 6.06663163985949 -0.685767124420725 3.17329635715928e-06 0.00387284243470022 "Promoter (2-3kb)" 11 103087627 103088702 1076 1 "57778" "ENSMUST00000129726.3" 2566 "ENSMUSG00000055805" "Fmnl1" "formin-like 1" "Promoter"
"66" "chr9" 96895157 96895557 401 "*" 5.71267332373337 5.00809850702653 6.0433286224038 -0.680254435380135 3.31659971100391e-06 0.00393345036416132 "Promoter (2-3kb)" 9 96898019 96904096 6078 1 "100502670" "ENSMUST00000145410.2" -2462 NA "Gm16010" "predicted gene 16010" "Promoter"
"67" "chr13" 41070875 41071275 401 "*" 7.20378107151502 6.70417168582953 7.46095405235925 -0.579162629776028 3.31916442616034e-06 0.00393345036416132 "Promoter (<=1kb)" 13 41071077 41114368 43292 1 "14538" "ENSMUST00000067778.8" 0 "ENSMUSG00000021360" "Gcnt2" "glucosaminyl (N-acetyl) transferase 2 (I blood group)" "Promoter"
"68" "chr4" 34551446 34551846 401 "*" 7.34901433677757 6.87895796420066 7.59435877507353 -0.566584491659154 3.52513528638697e-06 0.00411786160525518 "Promoter (<=1kb)" 4 34550951 34562769 11819 1 "433693" "ENSMUST00000132230.2" 495 "ENSMUSG00000028291" "Akirin2" "akirin 2" "Promoter"
"69" "chr5" 138861241 138861641 401 "*" 5.28000711754396 4.26289348825534 5.69929149146794 -0.742426954965532 3.62874842334352e-06 0.00417919378277182 "Distal Intergenic" 5 138805835 138807374 1540 1 "384244" "ENSMUST00000179205.2" 55406 "ENSMUSG00000094504" "Foxl3" "forkhead box L3" "Intergenic"
"70" "chr19" 10362804 10363204 401 "*" 6.26827021283622 5.62848146105368 6.57720812893521 -0.656000897791677 3.83778367855663e-06 0.00435854960271633 "Distal Intergenic" 19 10366454 10425808 59355 1 "54525" "ENSMUST00000073899.6" -3250 "ENSMUSG00000024743" "Syt7" "synaptotagmin VII" "Intergenic"
"71" "chr18" 61575740 61576140 401 "*" 4.23657364352339 2.77708574358551 4.74677795541975 -0.754287726820014 3.97676583381882e-06 0.00442251284500027 "Distal Intergenic" 18 61603296 61617678 14383 2 "442846" "ENSMUST00000235256.2" 41538 "ENSMUSG00000118229" "Lncbate10" "brown adipose tissue enriched long noncoding RNA 10" "Intergenic"
"72" "chr2" 168373988 168374388 401 "*" 6.55155917496674 5.69029279735875 6.92972365760631 -0.717885499920591 4.00227406787354e-06 0.00442251284500027 "Intron (ENSMUST00000074618.10/18019, intron 5 of 9)" 2 168318333 168394196 75864 2 "18019" "ENSMUST00000151292.8" 19808 "ENSMUSG00000027544" "Nfatc2" "nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2" "Intron"
"73" "chr11" 98411242 98411642 401 "*" 5.58913499281224 4.68957483134683 5.97793059473073 -0.723481927746351 4.11908502141124e-06 0.00447834432046065 "Intron (ENSMUST00000103141.4/22780, intron 1 of 7)" 11 98355728 98436626 80899 2 "22780" "ENSMUST00000103141.4" 24984 "ENSMUSG00000018168" "Ikzf3" "IKAROS family zinc finger 3" "Intron"
"74" "chr8" 123033501 123033901 401 "*" 5.10262874569362 4.26023483429759 5.47541939976882 -0.715879246416782 4.16233543298287e-06 0.00447834432046065 "Promoter (<=1kb)" 8 123034059 123050514 16456 1 "22761" "ENSMUST00000176883.2" -158 "ENSMUSG00000049577" "Zfpm1" "zinc finger protein, multitype 1" "Promoter"
"75" "chr5" 140020179 140020579 401 "*" 5.44440729421115 4.65501741651921 5.801611149831 -0.705493206411621 4.26713197799145e-06 0.00450608573121076 "Intron (ENSMUST00000110829.7/17120, intron 16 of 16)" 5 140074426 140101221 26796 2 "17120" "ENSMUST00000128579.2" 80642 "ENSMUSG00000029554" "Mad1l1" "MAD1 mitotic arrest deficient 1-like 1" "Intron"
"76" "chr3" 126791781 126792181 401 "*" 6.30285681934623 5.63666349687604 6.62080355269027 -0.66178680833894 4.3768098154928e-06 0.00450608573121076 "Promoter (<=1kb)" 3 126715261 126792111 76851 2 "109676" "ENSMUST00000044443.15" 0 "ENSMUSG00000032826" "Ank2" "ankyrin 2, brain" "Promoter"
"77" "chr13" 94389465 94389865 401 "*" 4.75989040138334 3.64559751280923 5.20214035211904 -0.738742266295369 4.43454721018171e-06 0.00450608573121076 "5' UTR" 13 94340255 94383066 42812 2 "107767" "ENSMUST00000153558.8" -6399 "ENSMUSG00000021687" "Scamp1" "secretory carrier membrane protein 1" "5' UTR"
"78" "chr10" 128579608 128580008 401 "*" 6.39513356949391 5.85565148194009 6.66773980735964 -0.602009857718795 4.44495847113021e-06 0.00450608573121076 "Promoter (<=1kb)" 10 128556003 128579944 23942 2 "13139" "ENSMUST00000026414.9" 0 "ENSMUSG00000025357" "Dgka" "diacylglycerol kinase, alpha" "Promoter"
