"chr" "start" "end" "strand" "pvalue" "qvalue" "meth.diff" "direction" "tot_coverage"
"25157431" "chr4" 27297243 27297243 "*" 2.3968086832103e-13 2.78481760634388e-07 -92.5925925925926 "negative" 49
"4413159" "chr10" 102539521 102539521 "*" 3.45877899950329e-13 3.90388551170719e-07 -77.7777777777778 "negative" 67
"25103692" "chr4" 22188670 22188670 "*" 4.4353237404749e-13 4.86704238084381e-07 -92.3076923076923 "negative" 48
"25423255" "chr4" 45802282 45802282 "*" 6.88598382956083e-13 7.35201827821756e-07 -86.0411899313501 "negative" 61
"21624665" "chr2" 128377145 128377145 "*" 7.33888584596381e-13 7.62937284910288e-07 95.4545454545455 "positive" 43
"10574954" "chr13" 106400484 106400484 "*" 8.44539636332161e-13 8.55456111924195e-07 87.0098039215686 "positive" 58
"21581907" "chr2" 126193406 126193406 "*" 8.84602553282126e-13 8.7363595806181e-07 75.6756756756757 "positive" 68
"17670338" "chr18" 34519096 34519096 "*" 1.07279381063274e-12 1.0336528494261e-06 87.6190476190476 "positive" 56
"21243453" "chr2" 103516759 103516759 "*" 1.31885896598957e-12 1.24048457804792e-06 75 "positive" 65
"25286911" "chr4" 37297149 37297149 "*" 1.62258308833957e-12 1.49066753530913e-06 85.1851851851852 "positive" 53
"16710771" "chr17" 63822237 63822237 "*" 1.78144310691574e-12 1.59941654502815e-06 75 "positive" 65
"25326710" "chr4" 40805010 40805010 "*" 2.60295593182004e-12 2.2617186122243e-06 94.4444444444444 "positive" 42
"25814828" "chr4" 74587674 74587674 "*" 2.69087873254569e-12 2.2617186122243e-06 -100 "negative" 36
"32246285" "chr7" 11977740 11977740 "*" 2.69019146067557e-12 2.2617186122243e-06 -100 "negative" 43
"1240255" "chr1" 90241652 90241652 "*" 5.16516760899166e-12 4.16419101265372e-06 -71.0526315789474 "negative" 70
"25423253" "chr4" 45802215 45802215 "*" 5.14594956317999e-12 4.16419101265372e-06 -75.9404388714733 "negative" 73
"25299122" "chr4" 38835895 38835895 "*" 5.72261659444025e-12 4.52133773528436e-06 -81.7435897435898 "negative" 64
"20364384" "chr2" 40695504 40695504 "*" 5.96086551532133e-12 4.5586104661722e-06 78.9473684210526 "positive" 59
"20364385" "chr2" 40695505 40695505 "*" 6.00058404963458e-12 4.5586104661722e-06 77.7777777777778 "positive" 58
"2276802" "chr1" 166590729 166590729 "*" 1.01181890988568e-11 7.54169953196249e-06 80 "positive" 60
"16647745" "chr17" 58541265 58541265 "*" 2.13577174083095e-11 1.56244011135322e-05 69.5652173913043 "positive" 66
"25380877" "chr4" 44011074 44011074 "*" 3.45440540332179e-11 2.48114941593533e-05 -81.25 "negative" 54
"25380876" "chr4" 44011073 44011073 "*" 4.43984571161358e-11 3.13200289579659e-05 -90.4761904761905 "negative" 41
"32227211" "chr7" 10079795 10079795 "*" 4.57593761140455e-11 3.17137459321921e-05 76 "positive" 55
"7661661" "chr12" 39121331 39121331 "*" 4.68217565032535e-11 3.18905502068166e-05 70.2702702702703 "positive" 74
"35811118" "chr8" 93915442 93915442 "*" 4.78686260697039e-11 3.20509756707909e-05 88.8888888888889 "positive" 42
"8311583" "chr12" 84105356 84105356 "*" 6.57633929429484e-11 4.32987406498282e-05 -84.3076923076923 "negative" 51
"8311584" "chr12" 84105357 84105357 "*" 6.80224124412931e-11 4.40518852166697e-05 -77.9279279279279 "negative" 61
"17362432" "chr18" 11231919 11231919 "*" 8.89428091659185e-11 5.66710756949718e-05 66.6666666666667 "positive" 65
"16134424" "chr17" 30174918 30174918 "*" 1.29407080628739e-10 8.11446318116898e-05 72.9268292682927 "positive" 71
"13819968" "chr15" 87650727 87650727 "*" 1.47798810971127e-10 8.98255504474522e-05 -78.8177339901478 "negative" 57
"36343480" "chr8" 121496781 121496781 "*" 1.46118388411525e-10 8.98255504474522e-05 -78.7878787878788 "negative" 55
"9276392" "chr13" 28197196 28197196 "*" 3.11539280897046e-10 0.000186470949070647 77.1561771561772 "positive" 59
"25866135" "chr4" 80291686 80291686 "*" 3.29129969997416e-10 0.000194059510308739 -71.4285714285714 "negative" 56
"25423244" "chr4" 45801928 45801928 "*" 3.54698189462603e-10 0.000206059367581798 -76.8944099378882 "negative" 58
"4413160" "chr10" 102539522 102539522 "*" 4.33925248460915e-10 0.000244883308658024 -73.2497387669802 "negative" 62
"25423256" "chr4" 45802283 45802283 "*" 4.27896988870259e-10 0.000244883308658024 -71.6783216783217 "negative" 70
"25326709" "chr4" 40805009 40805009 "*" 7.94233688362633e-10 0.000438952805426702 82.6086956521739 "positive" 43
"35706991" "chr8" 88715032 88715032 "*" 8.00033222032298e-10 0.000438952805426702 65.2173913043478 "positive" 60
"35212180" "chr8" 55516467 55516467 "*" 8.50815128443277e-10 0.000456977094696244 86.9565217391304 "positive" 40
"40052464" "chrX" 160443320 160443320 "*" 8.56019875217429e-10 0.000456977094696244 100 "positive" 35
"20817295" "chr2" 72781963 72781963 "*" 9.39564651081637e-10 0.000494888895847851 -66.2628145386766 "negative" 66
"13819967" "chr15" 87650726 87650726 "*" 1.77853024339105e-09 0.000924463919662861 -73.0812013348165 "negative" 60
"25866855" "chr4" 80367636 80367636 "*" 2.149250485545e-09 0.00110265236173513 -65.7142857142857 "negative" 61
"12523606" "chr14" 123772530 123772530 "*" 2.21097822438015e-09 0.00111977860718985 81.25 "positive" 41
"18754573" "chr19" 7417334 7417334 "*" 2.27208038021879e-09 0.00113615845275019 62.5 "positive" 60
"39409493" "chrX" 92171934 92171934 "*" 2.75611666569147e-09 0.00136097426738579 85.7142857142857 "positive" 38
"26146146" "chr4" 100626742 100626742 "*" 3.0468623582143e-09 0.00148597026896209 -86.3636363636364 "negative" 38
"16647744" "chr17" 58541264 58541264 "*" 4.30847416770188e-09 0.00207563958515808 65.3846153846154 "positive" 55
"2874325" "chr10" 7629610 7629610 "*" 4.7543789950367e-09 0.00226286168932927 70.8333333333333 "positive" 49
"40099550" "chrX" 164590508 164590508 "*" 5.04396887144639e-09 0.00237211322762183 82.3529411764706 "positive" 38
"25814827" "chr4" 74587673 74587673 "*" 5.24041613883825e-09 0.00242081758078934 -80.9523809523809 "negative" 40
"37220818" "chr9" 48146104 48146104 "*" 5.27009218823472e-09 0.00242081758078934 62.0689655172414 "positive" 59
"26026594" "chr4" 91513149 91513149 "*" 5.59506375871292e-09 0.00254055201446328 75 "positive" 44
"32246284" "chr7" 11977739 11977739 "*" 5.93339535251806e-09 0.00266356266393508 -63.4408602150538 "negative" 67
"25423241" "chr4" 45801915 45801915 "*" 8.26777151332831e-09 0.00362901079651007 -81.0810810810811 "negative" 51
"35706990" "chr8" 88715031 88715031 "*" 8.22035993459064e-09 0.00362901079651007 62.5 "positive" 59
"28926258" "chr5" 111182560 111182560 "*" 8.50794197870883e-09 0.00369339222686306 57.1428571428571 "positive" 63
"25299123" "chr4" 38835896 38835896 "*" 9.33641178211292e-09 0.00400898539706624 -81.3852813852814 "negative" 43
"38006578" "chr9" 95287543 95287543 "*" 1.06892822832104e-08 0.00454054413225394 -66.6666666666667 "negative" 52
"25423257" "chr4" 45802325 45802325 "*" 1.44760804453226e-08 0.00608366705255947 -80.4166666666667 "negative" 47
"10574955" "chr13" 106400485 106400485 "*" 2.0240168368307e-08 0.00841652502854279 74.8484848484849 "positive" 53
"25509775" "chr4" 50380469 50380469 "*" 2.24888007416241e-08 0.00925416773738002 85.7142857142857 "positive" 35
"8846857" "chr12" 112479678 112479678 "*" 2.30833445283748e-08 0.00940089718677502 -65.6976744186046 "negative" 67
"30418903" "chr6" 38174426 38174426 "*" 2.51359241477492e-08 0.0101323710433509 -61.5888615888616 "negative" 70
"9077241" "chr13" 12712760 12712760 "*" 2.61957934851229e-08 0.0104529450427875 69.4638694638695 "positive" 59
"27510552" "chr5" 15892369 15892369 "*" 2.67921440936487e-08 0.0105839986045438 -81.6176470588235 "negative" 41
"11140434" "chr14" 28840239 28840239 "*" 2.84532530928019e-08 0.0111289158056196 -80 "negative" 45
"25391931" "chr4" 44482922 44482922 "*" 2.8928405190934e-08 0.0112038329221532 -64 "negative" 51
"13484895" "chr15" 74232078 74232078 "*" 2.98554051540398e-08 0.0114505948389071 51.6129032258064 "positive" 67
"25509774" "chr4" 50380468 50380468 "*" 3.11193985853468e-08 0.011820617369803 91.6666666666667 "positive" 28
"16150722" "chr17" 30912510 30912510 "*" 3.18006846551374e-08 0.0119643600728647 -67.8571428571429 "negative" 62
"25866854" "chr4" 80367635 80367635 "*" 3.32571737861673e-08 0.0123942935601921 -59.2592592592593 "negative" 56
"25273074" "chr4" 35715910 35715910 "*" 3.54205444813026e-08 0.0130771696782691 -75.6944444444444 "negative" 50
"36588806" "chr9" 6668209 6668209 "*" 3.65989202757465e-08 0.0133871096751184 -64.1705069124424 "negative" 59
"19199692" "chr19" 35823677 35823677 "*" 3.83582816598729e-08 0.013901925266461 -56.5217391304348 "negative" 58
"25423309" "chr4" 45804667 45804667 "*" 3.88329973915058e-08 0.0139460279769568 -77.6086956521739 "negative" 43
"9276393" "chr13" 28197197 28197197 "*" 4.00194439405672e-08 0.0142426359891659 65.5844155844156 "positive" 61
"25423292" "chr4" 45804220 45804220 "*" 4.20689508969637e-08 0.0148383620277346 -62.6780626780627 "negative" 66
"11135622" "chr14" 28484038 28484038 "*" 4.79015755488737e-08 0.0167460991547917 -48.1481481481482 "negative" 70
"25423290" "chr4" 45804183 45804183 "*" 4.90068474112973e-08 0.0168345390253284 -71.2121212121212 "negative" 55
"39147808" "chrX" 61796190 61796190 "*" 4.87179351013821e-08 0.0168345390253284 100 "positive" 22
"11767119" "chr14" 68112553 68112553 "*" 4.97377705486868e-08 0.016938331529145 -59.1107236268527 "negative" 68
"2156678" "chr1" 159290763 159290763 "*" 5.81997383664898e-08 0.0196498100771945 -76.4705882352941 "negative" 37
"15629230" "chr16" 97638434 97638434 "*" 5.86945883075337e-08 0.0196498100771945 -62.2596153846154 "negative" 58
"25423254" "chr4" 45802216 45802216 "*" 6.08858649130295e-08 0.0202121178614384 -66.0130718954248 "negative" 61
"19205762" "chr19" 36205863 36205863 "*" 6.18972751569669e-08 0.0203766407420433 53.8461538461538 "positive" 60
"38006502" "chr9" 95286895 95286895 "*" 7.07661329823209e-08 0.0231037457992635 -67.741935483871 "negative" 50
"37036034" "chr9" 39627477 39627477 "*" 7.27818233438235e-08 0.0235670598317072 -58.0849141824752 "negative" 68
"25423302" "chr4" 45804381 45804381 "*" 7.98772975790365e-08 0.0256543228309424 -85 "negative" 33
"35738130" "chr8" 90117168 90117168 "*" 8.38208725915681e-08 0.0267037833637233 59.0909090909091 "positive" 52
"25423301" "chr4" 45804380 45804380 "*" 8.47408617474905e-08 0.0267808999338996 -67.1296296296296 "negative" 51
"40126483" "chrX" 167094523 167094523 "*" 8.56581948587493e-08 0.0268559596959317 -66.6666666666667 "negative" 55
"31921400" "chr6" 137430054 137430054 "*" 9.53941484617576e-08 0.0296729222287461 -51.437908496732 "negative" 79
"25423258" "chr4" 45802326 45802326 "*" 1.0170019131646e-07 0.0313873105166587 -77.2727272727273 "negative" 55
"38771305" "chrX" 17017071 17017071 "*" 1.09109581261192e-07 0.0334130009008606 60.7142857142857 "positive" 52
"25391930" "chr4" 44482921 44482921 "*" 1.2270783853966e-07 0.0372881861113053 -58.3333333333333 "negative" 52
"40230200" "chrY" 90818912 90818912 "*" 1.33242727427186e-07 0.0401804246166204 37.0879120879121 "positive" 171
"23667572" "chr3" 84755490 84755490 "*" 1.54342776654447e-07 0.0461907146381078 -38.4615384615385 "negative" 93
"32713685" "chr7" 39849581 39849581 "*" 1.5558178925804e-07 0.0462114317659169 -55 "negative" 55
"11137638" "chr14" 28648225 28648225 "*" 1.62619790530745e-07 0.0479414210093869 -59.8850574712644 "negative" 59
"11486798" "chr14" 53614432 53614432 "*" 1.66351331702592e-07 0.0486782343375387 -54.5454545454545 "negative" 55
